time,coin,price,signal,prediction
2025-04-30 23:25:27,BTC,94719.9,BUY,95193.5
2025-04-30 23:25:28,BTC,94719.9,SELL,94246.3
2025-04-30 23:25:28,BTC,94719.9,SELL,94246.3
2025-04-30 23:25:29,BTC,94719.9,BUY,95193.5
2025-04-30 23:25:29,BTC,94719.9,HOLD,94719.9
2025-04-30 23:25:29,BTC,94719.9,SELL,94246.3
2025-04-30 23:25:30,BTC,94719.9,BUY,95193.5
2025-04-30 23:25:30,BTC,94719.9,SELL,94246.3
2025-04-30 23:25:31,BTC,94719.9,HOLD,94719.9
2025-04-30 23:25:31,BTC,94719.9,BUY,95193.5
2025-04-30 23:25:32,BTC,94719.9,HOLD,94719.9
2025-04-30 23:25:32,BTC,94719.9,SELL,94246.3
2025-04-30 23:25:32,BTC,94719.9,SELL,94246.3
2025-04-30 23:25:33,BTC,94719.9,BUY,95193.5
2025-04-30 23:25:33,BTC,94719.9,HOLD,94719.9
2025-04-30 23:25:34,BTC,94719.9,HOLD,94719.9
2025-04-30 23:25:34,BTC,94719.9,SELL,94246.3
2025-04-30 23:25:36,BTC,94719.9,BUY,95193.5
2025-04-30 23:25:36,BTC,94719.9,SELL,94246.3
2025-04-30 23:25:48,BTC,94720.0,BUY,95193.6
2025-05-01 07:43:04,BTC,96100.0,BUY,96580.5
2025-05-01 07:43:45,BTC,96100.0,BUY,96580.5
2025-05-01 07:44:42,BTC,96111.6,HOLD,96111.6
